"id","evento","relatore","ordine","data_relazione","titolo_it","titolo_en","descrizione_it","descrizione_en","code_video","path_video","path_mini","tipo","disciplina"
56,400,386,1,2013-11-14 00:00:00.000,"","","Round Table on ?Sopravvivere"" (al cancro) o riprendere a vivere??","Round Table on ?Sopravvivere"" (al cancro) o riprendere a vivere??","",https://vimeo.com/184367047,https://i.vimeocdn.com/video/593789561_421x240.jpg,VS,19
57,400,292,2,2013-11-14 00:00:00.000,"","",Prevenzione terziaria delle complicanze a lungo terminenelle persone guarite da patologie neoplastiche,Prevenzione terziaria delle complicanze a lungo terminenelle persone guarite da patologie neoplastiche,"",https://vimeo.com/184367051,https://i.vimeocdn.com/video/593787859_421x240.jpg,VS,19
58,400,386,3,2013-11-15 00:00:00.000,"","",Meeting presentation and Welcome addresses (prima parte),Meeting presentation and Welcome addresses (prima parte),"",https://vimeo.com/184367048,https://i.vimeocdn.com/video/593787814_421x240.jpg,VS,19
59,400,246,4,2013-11-15 00:00:00.000,"","",Meeting presentation and Welcome addresses (seconda parte),Meeting presentation and Welcome addresses (seconda parte),"",https://vimeo.com/184367049,https://i.vimeocdn.com/video/593786447_421x240.jpg,VS,19
60,400,382,5,2013-11-15 00:00:00.000,"","",Cancer Survivorship,Cancer Survivorship,"",https://vimeo.com/184367050,https://i.vimeocdn.com/video/593788665_421x240.jpg,VS,19
61,400,337,6,2013-11-15 00:00:00.000,"","",Achieving high-quality cancer survivorship care,Achieving high-quality cancer survivorship care,"",https://vimeo.com/184367053,https://i.vimeocdn.com/video/593789400_421x240.jpg,VS,19
62,400,380,7,2013-11-15 00:00:00.000,"","",Secondary Malignacies in CML Patients,Secondary Malignacies in CML Patients,"",https://vimeo.com/184367057,https://i.vimeocdn.com/video/593787886_421x240.jpg,VS,19
63,400,326,8,2013-11-15 00:00:00.000,"","",Secondary Malignacies in myeloprolifeative neoplasm Patients,Secondary Malignacies in myeloprolifeative neoplasm Patients,"",https://vimeo.com/184367056,https://i.vimeocdn.com/video/593788611_421x240.jpg,VS,19
64,400,246,9,2013-11-15 00:00:00.000,"","",Secondary Malignacies in NHL Patients,Secondary Malignacies in NHL Patients,"",https://vimeo.com/184367059,https://i.vimeocdn.com/video/593788955_421x240.jpg,VS,19
65,400,323,10,2013-11-15 00:00:00.000,"","",Sequelae after breast cancer treatment: Second Primary Cancer and more,Sequelae after breast cancer treatment: Second Primary Cancer and more,"",https://vimeo.com/184367058,https://i.vimeocdn.com/video/593789157_421x240.jpg,VS,19
67,400,281,12,2013-11-15 00:00:00.000,"","",Infertility and premature menopause,Infertility and premature menopause,"",https://vimeo.com/184367063,https://i.vimeocdn.com/video/593788821,VS,19
68,400,376,13,2013-11-15 00:00:00.000,"","",Late liver complications,Late liver complications,"",https://vimeo.com/184367061,https://i.vimeocdn.com/video/593789232_421x240.jpg,VS,19
69,400,361,14,2013-11-15 00:00:00.000,"","","Screening for distress in cancer patients: A multicenter, nationwide study in Italy","Screening for distress in cancer patients: A multicenter, nationwide study in Italy","",https://vimeo.com/184367068,https://i.vimeocdn.com/video/593788941_421x240.jpg,VS,19
70,400,288,15,2013-11-15 00:00:00.000,"","",Long-term quality of life in patients with acute and chronic leukemia: what do we know?,Long-term quality of life in patients with acute and chronic leukemia: what do we know?,"",https://vimeo.com/184367064,https://i.vimeocdn.com/video/593788842_421x240.jpg,VS,19
71,400,274,16,2013-11-15 00:00:00.000,"","",Sexual and reproductive health: issues at the bedside,Sexual and reproductive health: issues at the bedside,"",https://vimeo.com/184367065,https://i.vimeocdn.com/video/593788738_421x240.jpg,VS,19
72,400,375,17,2013-11-15 00:00:00.000,"","",Quality of life among long-term survivors of Non Hodgkin's  lymphoma: a follow up study,Quality of life among long-term survivors of Non Hodgkin's  lymphoma: a follow up study,"",https://vimeo.com/184367066,https://i.vimeocdn.com/video/593789135_421x240.jpg,VS,19
73,400,284,18,2013-11-15 00:00:00.000,"","",Employment discrimination,Employment discrimination,"",https://vimeo.com/184367067,https://i.vimeocdn.com/video/593788757_421x240.jpg,VS,19
74,400,248,19,2013-11-15 00:00:00.000,"","",Hematopoietic stem cell transplantation - Why long term follow up matters,Hematopoietic stem cell transplantation - Why long term follow up matters,"",https://vimeo.com/184367073,https://i.vimeocdn.com/video/593789448_421x240.jpg,VS,19
75,400,372,20,2013-11-15 00:00:00.000,"","",Round table,Round table,"",https://vimeo.com/184367074,https://i.vimeocdn.com/video/593789463_421x240.jpg,VS,19
76,400,372,21,2013-11-16 00:00:00.000,"","",Quality of Life in hematology: European Hematology Association theme of the year ?and years to come,Quality of Life in hematology: European Hematology Association theme of the year ?and years to come,"",https://vimeo.com/184367072,https://i.vimeocdn.com/video/593789463_421x240.jpg,VS,19
77,400,196,22,2013-11-16 00:00:00.000,"","","The survivorship passport for childhood cancer survivors, and guidelines for long term follow-up","The survivorship passport for childhood cancer survivors, and guidelines for long term follow-up","",https://vimeo.com/184367075,https://i.vimeocdn.com/video/593789351_421x240.jpg,VS,19
78,400,392,23,2013-11-16 00:00:00.000,"","",Long term follow-up of survivors of childhood cancer: summary of update SIGN guidance,Long term follow-up of survivors of childhood cancer: summary of update SIGN guidance,"",https://vimeo.com/184367076,https://i.vimeocdn.com/video/593789434_421x240.jpg,VS,19
79,400,246,24,2013-11-16 00:00:00.000,"","",Conclusions,Conclusions,"",https://vimeo.com/184367077,https://i.vimeocdn.com/video/593786829_421x240.jpg,VS,19
80,396,351,1,2013-10-11 00:00:00.000,Introduction,Introduction,"","","",https://vimeo.com/184661701,https://i.vimeocdn.com/video/594159131_421x240.jpg,VS,16
81,396,67,2,2013-10-11 00:00:00.000,Left ventricular hypertrophy and cardiovascular risk,Left ventricular hypertrophy and cardiovascular risk,"","","",https://vimeo.com/184661702,https://i.vimeocdn.com/video/594159348_421x240.jpg,VS,2
82,396,366,3,2013-10-11 00:00:00.000, Chronic kidney disease and cardiovascular risk, Chronic kidney disease and cardiovascular risk,"","","",https://vimeo.com/184661704,https://i.vimeocdn.com/video/594159333_421x240.jpg,VS,27
83,396,283,4,2013-10-11 00:00:00.000,Nonalcoholic steatohepatitis and cardiovascular risk,Nonalcoholic steatohepatitis and cardiovascular risk,"","","",https://vimeo.com/184661703,https://i.vimeocdn.com/video/594159356_421x240.jpg,VS,10
84,396,344,5,2013-10-11 00:00:00.000,Obesity hypoventilation syndrome: co-morbidities and combined treatment strategies:,Obesity hypoventilation syndrome: co-morbidities and combined treatment strategies:,"","","",https://vimeo.com/184661683,https://i.vimeocdn.com/video/594159362_421x240.jpg,VS,16
85,396,346,6,2013-10-11 00:00:00.000,Adipokines: a novel link between adiposity and carotid plaque vulnerability:,Adipokines: a novel link between adiposity and carotid plaque vulnerability:,"","","",https://vimeo.com/184661681,https://i.vimeocdn.com/video/594159366_421x240.jpg,VS,16
86,396,300,7,2013-10-11 00:00:00.000,Physical activity and circulating endothelial progenitor cells (EPCs) in obesity,Physical activity and circulating endothelial progenitor cells (EPCs) in obesity,"","","",https://vimeo.com/184661682,https://i.vimeocdn.com/video/594159322_421x240.jpg,VS,16
87,396,384,8,2013-10-11 00:00:00.000,Uric Acid and cardiovascular risk,Uric Acid and cardiovascular risk,"","","",https://vimeo.com/184661684,https://i.vimeocdn.com/video/594159396_421x240.jpg,VS,16
88,396,85,9,2013-10-11 00:00:00.000,Treatment of chronic hyperuricemia with and without urate deposition,Treatment of chronic hyperuricemia with and without urate deposition,"","","",https://vimeo.com/184661685,https://i.vimeocdn.com/video/594159339_421x240.jpg,VS,16
89,396,353,10,2013-10-11 00:00:00.000,Metabolic syndrome and target organ damage: role of blood pressure,Metabolic syndrome and target organ damage: role of blood pressure,"","","",https://vimeo.com/184661686,https://i.vimeocdn.com/video/594159300_421x240.jpg,VS,16
90,396,36,11,2013-10-11 00:00:00.000,AT2 Receptor in hypertensive cardiovascular disease,AT2 Receptor in hypertensive cardiovascular disease,"","","",https://vimeo.com/184661688,https://i.vimeocdn.com/video/594159340_421x240.jpg,VS,2
91,396,220,12,2013-10-11 00:00:00.000,Effects of treatment strategy on endothelial function,Effects of treatment strategy on endothelial function,"","","",https://vimeo.com/184661690,https://i.vimeocdn.com/video/594159280_421x240.jpg,VS,2
92,396,95,13,2013-10-11 00:00:00.000,"BP Variability, Adrenergic Ovredrive and CV risk in hypertension","BP Variability, Adrenergic Ovredrive and CV risk in hypertension","","","",https://vimeo.com/184661692,https://i.vimeocdn.com/video/594159388_421x240.jpg,VS,2
93,396,304,14,2013-10-11 00:00:00.000,Cognitive impairment and hypertension,Cognitive impairment and hypertension,"","","",https://vimeo.com/184661691,https://i.vimeocdn.com/video/594159381_421x240.jpg,VS,2
94,396,45,15,2013-10-11 00:00:00.000,Cardiovascular consequences of poor compliance to antihypertensive therapy,Cardiovascular consequences of poor compliance to antihypertensive therapy,"","","",https://vimeo.com/184661693,https://i.vimeocdn.com/video/594159295_421x240.jpg,VS,2
95,396,32,16,2013-10-11 00:00:00.000,Prevalence of hypertension by gender and age,Prevalence of hypertension by gender and age,"","","",https://vimeo.com/184661699,https://i.vimeocdn.com/video/594159332_320x240,VS,2
96,396,282,17,2013-10-11 00:00:00.000,Preeclampsia and cardiovascular risk,Preeclampsia and cardiovascular risk,"","","",https://vimeo.com/184661695,https://i.vimeocdn.com/video/594159364_320x240.webp,VS,32
97,396,388,18,2013-10-11 00:00:00.000,Hypertension in the elderly,Hypertension in the elderly,"","","",https://vimeo.com/184661700,https://i.vimeocdn.com/video/594159331_320x240.webp,VS,2
98,396,351,19,2013-10-12 00:00:00.000,Introduction 2,Introduction 2,"","","",https://vimeo.com/184664000,https://i.vimeocdn.com/video/617746290_320x240.webp,VS,16
99,396,365,20,2013-10-12 00:00:00.000,Epidemiology of diabetes and cardiovascular risk,Epidemiology of diabetes and cardiovascular risk,"","","",https://vimeo.com/184664001,https://i.vimeocdn.com/video/594162053_320x240.webp,VS,16
100,396,334,21,2013-10-12 00:00:00.000,Cardiovascular risk in subjects at high risk for type 2 diabetes,Cardiovascular risk in subjects at high risk for type 2 diabetes,"","","",https://vimeo.com/184664002,https://i.vimeocdn.com/video/594161947_320x240.webp,VS,16
101,396,297,22,2013-10-12 00:00:00.000,Lifestyle interventions for the prevention or delay of type 2 diabetes,Lifestyle interventions for the prevention or delay of type 2 diabetes,"","","",https://vimeo.com/184664003,https://i.vimeocdn.com/video/594162001_320x240.webp,VS,16
102,396,295,23,2013-10-12 00:00:00.000, Type 2 diabetes and cardiovascular risk in children and adolescents, Type 2 diabetes and cardiovascular risk in children and adolescents,"","","",https://vimeo.com/184664004,https://i.vimeocdn.com/video/594162050_320x240.webp,VS,16
103,396,279,24,2013-10-12 00:00:00.000,The effect of GLP-1 based therapies on cardiovascular risk,The effect of GLP-1 based therapies on cardiovascular risk,"","","",https://vimeo.com/184664005,https://i.vimeocdn.com/video/594162013_320x240.webp,VS,16
104,396,367,25,2013-10-12 00:00:00.000,Achieving glycemic control in patients with type 2 diabetes and renal impairment,Achieving glycemic control in patients with type 2 diabetes and renal impairment,"","","",https://vimeo.com/184664007,https://i.vimeocdn.com/video/594162046_320x240.webp,VS,16
105,396,374,26,2013-10-12 00:00:00.000,Very-low-caloric diet: a quick therapeuthic tool to improve ? cell function in morbidly obese patients with type 2 diabetes,Very-low-caloric diet: a quick therapeuthic tool to improve ? cell function in morbidly obese patients with type 2 diabetes,"","","",https://vimeo.com/184664008,https://i.vimeocdn.com/video/594162062_320x240.webp,VS,16
106,396,258,27,2013-10-12 00:00:00.000,Metabolic surgery for diabetes and metabolic syndrome,Metabolic surgery for diabetes and metabolic syndrome,"","","",https://vimeo.com/184664009,https://i.vimeocdn.com/video/594161966_320x240.webp,VS,16
107,396,305,28,2013-10-12 00:00:00.000,Quality of diabetes care,Quality of diabetes care,"","","",https://vimeo.com/184664011,https://i.vimeocdn.com/video/594162002_320x240.webp,VS,16
108,406,291,1,2014-02-13 00:00:00.000,Evidence Linking Plaque Vulnerability and Inflammation,Evidence Linking Plaque Vulnerability and Inflammation,"","","",https://vimeo.com/184666242,https://i.vimeocdn.com/video/594166725_295x166.webp,VS,2
109,406,406,2,2014-02-13 00:00:00.000,The MESA Study,The MESA Study,"","","",https://vimeo.com/184666239,https://i.vimeocdn.com/video/594166953_295x166.webp,VS,2
110,406,411,3,2014-02-13 00:00:00.000,Inhibition of Inflammation and Vascular Events: The CANTOS and CIRT Trials,Inhibition of Inflammation and Vascular Events: The CANTOS and CIRT Trials,"","","",https://vimeo.com/184666243,https://i.vimeocdn.com/video/594167034_295x166.webp,VS,2
111,406,32,4,2014-02-13 00:00:00.000,Diastolic Dysfunction in HT,Diastolic Dysfunction in HT,"","","",https://vimeo.com/184666246,https://i.vimeocdn.com/video/594166482_295x166.webp,VS,2
112,406,384,5,2014-02-13 00:00:00.000,Pregnancy-Induced HT and Heart Disease,Pregnancy-Induced HT and Heart Disease,"","","",https://vimeo.com/184666248,https://i.vimeocdn.com/video/594166508_295x166.webp,VS,2
113,406,412,6,2014-02-13 00:00:00.000,Inflammation and Atherothrombosis: an Update,Inflammation and Atherothrombosis: an Update,"","","",https://vimeo.com/184666247,https://i.vimeocdn.com/video/594167071_295x166.webp,VS,2
114,406,170,7,2014-02-13 00:00:00.000,CMD in Primary and Secondary LVH,CMD in Primary and Secondary LVH,"","","",https://vimeo.com/184666249,https://i.vimeocdn.com/video/594167026_295x166.webp,VS,2
115,406,409,8,2014-02-13 00:00:00.000,Prognostic Impact of CMD in Patients with CAD,Prognostic Impact of CMD in Patients with CAD,"","","",https://vimeo.com/184666253,https://i.vimeocdn.com/video/594166828_295x166.webp,VS,2
116,406,332,9,2014-02-13 00:00:00.000,Implications of MVO in Patients with STEMI,Implications of MVO in Patients with STEMI,"","","",https://vimeo.com/184666254,https://i.vimeocdn.com/video/594166678_295x166.webp,VS,2
117,406,407,10,2014-02-13 00:00:00.000,A novel truncated form of eNOS and vascular function,A novel truncated form of eNOS and vascular function,"","","",https://vimeo.com/184666255,https://i.vimeocdn.com/video/594166133_295x166.webp,VS,2
118,406,400,11,2014-02-13 00:00:00.000,The CONFIRM Trial and Beyond,The CONFIRM Trial and Beyond,"","","",https://vimeo.com/184666256,https://i.vimeocdn.com/video/594166931_295x166.webp,VS,2
119,406,403,12,2014-02-13 00:00:00.000,"No Reflow in STEMI: CMR vs TIMI, a Change of Paradigm","No Reflow in STEMI: CMR vs TIMI, a Change of Paradigm","","","",https://vimeo.com/184666258,https://i.vimeocdn.com/video/594166829_295x166.webp,VS,2
120,406,415,13,2014-02-13 00:00:00.000,CMR Late Enhancement,CMR Late Enhancement,"","","",https://vimeo.com/184666259,https://i.vimeocdn.com/video/594166797_295x166.webp,VS,2
121,406,401,14,2014-02-13 00:00:00.000,The EVINCI Trial,The EVINCI Trial,"","","",https://vimeo.com/184666260,https://i.vimeocdn.com/video/594166777_295x166.webp,VS,2
122,406,410,15,2014-02-13 00:00:00.000,Which Technique and When,Which Technique and When,"","","",https://vimeo.com/184666257,https://i.vimeocdn.com/video/594166876_295x166.webp,VS,2
123,406,170,16,2014-02-13 00:00:00.000,PET Has Shown the Way,PET Has Shown the Way,"","","",https://vimeo.com/184666262,https://i.vimeocdn.com/video/594166991_295x166.webp,VS,2
124,406,408,17,2014-02-14 00:00:00.000,The Changing Picture of ACS,The Changing Picture of ACS,"","","",https://vimeo.com/184666263,https://i.vimeocdn.com/video/594167015_295x166.webp,VS,2
125,406,291,18,2014-02-14 00:00:00.000,Pathogenetic Classification of ACS,Pathogenetic Classification of ACS,"","","",https://vimeo.com/184666265,https://i.vimeocdn.com/video/594166625_295x166.webp,VS,2
126,406,332,19,2014-02-14 00:00:00.000,Did the Outcome of Patients with ACS Change over the Past 10 Years?,Did the Outcome of Patients with ACS Change over the Past 10 Years?,"","","",https://vimeo.com/184666264,https://i.vimeocdn.com/video/594166614_295x166.webp,VS,2
127,406,416,20,2014-02-14 00:00:00.000,New Anti-Platelets Drugs in Acute Coronary Syndromes,New Anti-Platelets Drugs in Acute Coronary Syndromes,"","","",https://vimeo.com/184666266,https://i.vimeocdn.com/video/594166395_295x166.webp,VS,2
128,406,405,21,2014-02-14 00:00:00.000,Vasospastic Angina: the Japanese Registry,Vasospastic Angina: the Japanese Registry,"","","",https://vimeo.com/184666267,https://i.vimeocdn.com/video/594166724_295x166.webp,VS,2
129,406,414,22,2014-02-14 00:00:00.000,Class Differences in Calcium-Channel Blockers in Vasospastic Angina,Class Differences in Calcium-Channel Blockers in Vasospastic Angina,"","","",https://vimeo.com/184666268,https://i.vimeocdn.com/video/594166785_295x166.webp,VS,2
130,406,399,23,2014-02-14 00:00:00.000,FFR Guided Revascularization: the FAME Studies,FFR Guided Revascularization: the FAME Studies,"","","",https://vimeo.com/184666269,https://i.vimeocdn.com/video/594166584_295x166.webp,VS,2
131,406,398,24,2014-02-14 00:00:00.000,Bio-Absorbable Stents,Bio-Absorbable Stents,"","","",https://vimeo.com/184666270,https://i.vimeocdn.com/video/594166913_295x166.webp,VS,2
132,406,404,25,2014-02-14 00:00:00.000,New Anti-Ischemic/Anginal Drugs,New Anti-Ischemic/Anginal Drugs,"","","",https://vimeo.com/184666272,https://i.vimeocdn.com/video/594166834_295x166.webp,VS,2
133,406,402,26,2014-02-14 00:00:00.000,The Challenge of Cardiovascular Prevention,The Challenge of Cardiovascular Prevention,"","","",https://vimeo.com/184666273,https://i.vimeocdn.com/video/594167068_295x166.webp,VS,2
134,406,242,27,2014-02-14 00:00:00.000,The Updated Clinical Epidemiology of HF,The Updated Clinical Epidemiology of HF,"","","",https://vimeo.com/184666275,https://i.vimeocdn.com/video/594166447_295x166.webp,VS,2
135,406,333,28,2014-02-14 00:00:00.000,New Therapeutic Approaches for Acute and Chronic HF,New Therapeutic Approaches for Acute and Chronic HF,"","","",https://vimeo.com/184666274,https://i.vimeocdn.com/video/594166654_295x166.webp,VS,2
136,406,413,29,2014-02-14 00:00:00.000,AF: is Ablation the Best Option?,AF: is Ablation the Best Option?,"","","",https://vimeo.com/184666276,https://i.vimeocdn.com/video/594166539_295x166.webp,VS,2
137,406,348,30,2014-02-14 00:00:00.000,Percutaneous Mitral Valve Repair in Functional Mitral Insufficiency,Percutaneous Mitral Valve Repair in Functional Mitral Insufficiency,"","","",https://vimeo.com/184666277,https://i.vimeocdn.com/video/594166590_295x166.webp,VS,2
138,406,327,31,2014-02-14 00:00:00.000,HF with Preserved EF: the TOPCAT Trial,HF with Preserved EF: the TOPCAT Trial,"","","",https://vimeo.com/184666278,https://i.vimeocdn.com/video/594167004_295x166.webp,VS,2
139,406,333,32,2014-02-14 00:00:00.000,Strategies for Prevention of LV Remodelling,Strategies for Prevention of LV Remodelling,"","","",https://vimeo.com/184666279,https://i.vimeocdn.com/video/594166498_295x166.webp,VS,2
140,406,243,33,2014-02-14 00:00:00.000,Cardiac Resynchronization Therapy,Cardiac Resynchronization Therapy,"","","",https://vimeo.com/184666281,https://i.vimeocdn.com/video/594166770_295x166.webp,VS,2
141,406,347,34,2014-02-14 00:00:00.000,Imaging Cardiac Sympathetic Innervation as a Guidance for Treatment,Imaging Cardiac Sympathetic Innervation as a Guidance for Treatment,"","","",https://vimeo.com/184666282,https://i.vimeocdn.com/video/594166835_295x166.webp,VS,2
142,406,329,35,2014-02-14 00:00:00.000,Heart Transplantation: 25 Years’ Single-Centre Experience,Heart Transplantation: 25 Years’ Single-Centre Experience,"","","",https://vimeo.com/184666230,https://i.vimeocdn.com/video/594166668_295x166.webp,VS,2
143,406,327,36,2014-02-14 00:00:00.000,Level of Adherence to the HF Guidelines and Implications on Outcome: The US Experience,Level of Adherence to the HF Guidelines and Implications on Outcome: The US Experience,"","","",https://vimeo.com/184666233,https://i.vimeocdn.com/video/594166731_295x166.webp,VS,2
