"id_relatore","name","surname","company","role","photo","curriculum"
"58","Edoardo","Gronda","","","",""
"59","Eduardo García","Cruz","","","",""
"60","Edward M.","Brown","","","",""
"61","Elaine","Worcester","","","",""
"62","Eliane","Gluckman","","","",""
"63","Elisa","Carini","","","",""
"64","Elisa","Montaldo","","","",""
"65","Emanuele","Croppi","","","",""
"66","Empar","Lurbe","","","",""
"67","Enrico","Agabiti-Rosei","","","68452","Internal Medicine - University of Brescia Brescia, Italy"
"68","Fabrizio","Benedetti","","","",""
"69","Federico","Lavorini","","","",""
"70","Ferdinando","Fusco","","","",""
"71","Fernando","Schiraldi","","","",""
"72","Flavio","Giordano","","","",""
"73","Francesco","Cipollone","","","",""
"74","Francesco","Frassoni","","","",""
"75","Francesco","Nieddu","","","",""
"76","Francesco","Romeo","","","",""
"77","Francesco","Schettini","","","",""
"78","Fredric L.","Coe","","","",""
"79","Ghayda","Mirzaa","","","",""
"80","Giancarlo","La Marca","","","",""
"81","Gianluca","Gaidano","","","",""
"82","Gianluca","Tadini","","","",""
"83","Gino","Fornaciari","","","",""
"84","Giorgio","Cruccu","","","",""
"85","Giovambattista","Desideri","","","",""
"87","Giovanni","Gambaro","","","73802","Full Professor of Nephrology, University of Verona, Italy Chair of the Italian College of Academic Nephrologists Ordinary Council Member of the European Renal Association (ERA) 2021-Now Director of the Dept of Medicine, University of Verona 2018-Now Director of the Division of Nephrology and Dialysis, AOVR and University of Verona 2008-2018 Director of the Division of Nephrology and Dialysis, of the Rare Renal disease Unit and of the Dept of Rheumatology, Dermatology, Immunity and Allergy, Nephrology, Urology and Renal Transplantation, Policlinico Agostino Gemelli, Catholic University (UCSC), Roma, Italy Author of 465 papers published in international journals (Scopus), H-Index 57 (total citations 14267). 2020-now: Member of the Writing Panel of EAU (European Association of Urology) Guidelines on Urolithiasis. Past Editor in chief of the Journal of Nephrology"
"88","Giuseppe","Bellastella","","","",""
"89","Giuseppe","Cirino","","","",""
"90","Giuseppe","De Luca","","","73919","Posizione attuale: Professore Associato di Cardiologia Responsabile Laboratorio di Emodinamica Universitario Azienda Ospedaliera-Universitaria Maggiore della Carità Università del Piemonte Orientale C.so Mazzini, 17 28100 Novara, Italy Attività Clinica: Settembre 1996-Luglio 1998 Internato, Divisone di Cardiologia, Università “Federico II”, Napoli Luglio 1998-Ottobre 1998 Medico interno, Divisone di Cardiologia, Università “Federico II”, Napoli Novembre 1998-Dicembre 2001 Specialista in formazione, Divisone di Cardiologia, Università “Federico II”, Napoli Gennaio 2002 - Ottobre 2002 Specialista in formazione, Divisione di Cardiologia, Ospedale De Weezenlanden, Zwolle, Olanda Novembre 2002 - Gennaio 2005 Cardiologo Interventista, Divisione di Cardiologia, Ospedale De Weezenlanden, Zwolle, Olanda Febbraio 2005-Febbraio 2006 Cardiologo Interventista, Laboratorio di Emodinamica, Ospedale San Luca, Vallo della Lucania (SA) Marzo 2016-Dicembre 2006 Cardiologo Interventista, Laboratorio di Emodinamica, Università “Federico II”, Napoli, Italia Gennaio 2007- Presente Cardiologo Interventista, Laboratorio di Emodinamica Universitario, AOU Maggiore della Carità, Università del Piemonte Orientale, Novara Settembre 2010- Presente Incarico di Alta Specialità “Diagnostica Invasiva e cardiologia interventistica” – Laboratorio di Emodinamica Universitario, AOU Maggiore della Carità, Università del Piemonte Orientale, Novara Giugno 2011 Corso Edwards per la certificazione per l’impianto di valvole aortiche percutanee (Nyon, Svizzera) Gennaio 2012- presente Membro del gruppo TAVI (costitutito nel 2012) dell’Ospedale Maggiore della Carità Altri soggiorni in maggiori Istituzioni italiane ed estere: Luglio-Agosto, 2000: Laboratorio di Emodinamica, Ospedale St Bartholomew’s, Londra, Inghilterra Agosto-Ottobre 2004: Dipartimento di Radiologia Interventistica, Ospedale, “A. Cardarelli”, Napoli"
"91","Giuseppe","Lauria Pinter","","","",""
"92","Giuseppe","Mancia","","","44292","Professor Emeritus, University of Milano-Bicocca Former Head, Department of Internal Medicine, University Milano-Bicocca, S. Gerardo Hospital, Monza President, European Society of Hypertension (ESH) Foundation Chairman, ESH Educational Board Past President: International Society of Hypertension, European Society of Hypertension, European Society of Clinical Investigation, Italian Society of Hypertension Chairman, Consultant of Italian Scientific Societies for Cardiovascular Prevention Highly Cited Research in Clinical Medicine (source Clarivate Analytics)"
"93","Giuseppe M.C.","Rosano","","","58753","President Heart Failure Association Giuseppe M.C. Rosano, MD, PhD, is Director of the Cardiovascular translational laboratory at IRCCS San Raffaele Roma where he is also Professor of Pharmacology and Consultant Cardiologist. G.R. received his medical degree and his specialisation in cardiovascular medicine from “La Sapienza” University of Rome in Rome, Italy, and his PhD in Medical Sciences from the Imperial College of Science and Technology in London, United Kingdom. G.R. has served as member of the CVWP of the European Medicines Agency since July 2020, he has been board member of the Italian Space Agency and member of the pricing and reimbursement committee at the Italian Drug Agency. G.R. is fellow of the European Society of Cardiology, the Heart Failure Association, the American College of Cardiology, and the Italian Federation of Cardiology. He serves as Editorial Board Member for European Heart Journal, European Journal of Heart Failure, European Heart Journal—Cardiovascular Pharmacotherapy, ESC Heart Failure, Cardiovascular Diabetology, Nature Research Scientific Reports, Cardiovascular Reviews, Advances in Therapy, European Cardiology Review, and Climacteric. G.R. has authored or co-authored more than 600 peer-reviewed articles. He is the president of the Heart Failure Association of the ESC."
"94","Glenn M.","Preminger","","","",""
"95","Guido","Grassi","","","",""
"96","Harald","Jüppner","","","",""
"97","Helen Dahl","Hansen","","","",""
"98","Henning","Dralle","","","",""
"99","Ita Pfeferman","Heilberg","","","",""
"100","Ivan","Poliaceck","","","",""
"101","José Manuel","Reis Santos","","","",""
"102","James C.","Williams","","","",""
"103","James E.","Lingeman","","","",""
"104","Jan","Weinreich","","","",""
"105","Jana","Plevkova","","","",""
"106","Jeffrey S.","Mogil","","","",""
"107","Jens-Uwe","Voigt","","","",""
"109","James","Sanders","","","",""
"110","John C.","Lieske","","","75542",""
"111","John P.","Bilezikian","","","",""
"112","Jordi","Serra","","","",""
"113","Josè Valber","Meneses","","","",""
"114","Josep","Redon","","","68445","4. Main Education/Training. Graduated in Medicine and Surgery from the Medical School of the University of Valencia (1968-1974). PhD from the University of Valencia. Specialist in Internal Medicine. Fellowship in Hypertension at the Department of Nephrology and Hypertension, Northwestern University (Prof. D Batlle) in Chicago (1991-1992). 5. Most relevant highlights in career history. • Scientific Director of the Research Institute INCLIVA (2009-2017) • Chairman of the Institute of Medicine, Hospital Clinico of Valencia, University of Valencia from 1995 to date. • Full Professor of Medicine (catedratico) at the University from 2004 to date (Catedrático de Universidad). 6. Peer-review publications. Summary of Scientific contributions (WOS) (1975 – June 2020) H Index 75; Publications 560, Citations 52407 • Highly Cited Researcher of Clarivate Analytics (2018), Web of Science Core Collection. • Chapters of book 94 7. Most relevant grants. EUROPEAN PROJECTS • Network of Excellence, Ingenious Hypercare (VI Programe, EU LSHM-CT-2006-037093) (IP-partner) • EU-MASCARA del FP7, reference 278249 (IP-partner) • Joint Action ADVANTAGE in Frailty (724099) (IP-partner) • BigData@heart (IMI2-2015-07-07, reference FPP116074-2) (IP-partner) • BODYPASS (ICT-14 - 779780) (IP-partner) • BIGMEDILYTICS (ICT-15 - 780495) (IP-partner) NATIONAL PROJECTS 18 National Research Projects as PI and 15 as Co-I. RECENT: • Estudio experimental in vivo e in vitro y la aplicación clínica del impacto de las proteínas del complejo Rhabphilin-Rab en el desarrollo del daño renal y cardiovascular (PI). • Podocitos y sus componentes como biomarcadores de lesión en HTA, diabetes y obesidad. • Interaction of genetic and adquired factors on the risk to develop microalbuminuria in essential hypertension: a genomic and metabolic approach 8. Major significant research outputs. • President of the European Society of Hypertension (2011-2013) and President of the Spanish Society of Hypertension (2000-2004). • Editorial Activity: a) Associate Editor of Journal Hypertension (IF 5.05, first quartile); b) Reviewer of both Cardiovascular and Internal Medicine journals: Circulation, Hypertension, Journal of Hypertension, American Journal of Hypertension, American Journal of Medicine, American Journal of Kidney Disease, European Heart Journal and Nephrology Dialysis and Transplantation, Annals of Internal Medicine. • Award for Health Excellence from the European Institute of Health and Social Welfare. • Honorary member of the Hypertension Societies of Portugal, Bulgaria, Romania, Spain and Latin-America (LASH). • DOCTOR HONORIS CAUSA by the University of Carol Davila, Bucharest. • Conferences by invitation in international meetings 830"
"115","Juan Carlos","Kaski","","","",""
"116","Karen","Winer","","","",""
"117","Kemal","Sarica","","","",""
"118","Ketty","Peris","","","",""
"119","Khashayar","Sakhaee","","","",""
"120","Kian Fan","Chung","","","70632","●Professor of Respiratory Medicine & Head of Experimental Medicine Studies National Heart & Lung Institute, Imperial College London. ●Consultant Physician, Royal Brompton & Harefield NHS Trust, London ●Principal Investigator, MRC & Asthma UK Asthma Centre on Allergic Mechanisms of Asthma. ●Principal Investigator, MRC-EPA Health & Environment Centre ACADEMIC QUALIFICATIONS 2001 DSc, University of London 1992 FRCP, Royal College of Physicians, London 1983 MD University of London 1983 Higher Medical Training (General & Thoracic Medicine), Royal College of Physicians 1977 MRCP (UK), Royal College of Physicians 1975 MBBS Middlesex Hospital Medical School, University of London PROFESSIONAL AWARDS 2018 – 2022 Visiting Professor, Taipei Medical University, Taiwan 2014 – 2022 Visiting Professor, Guangzhou Medical School & Respiratory Institute, China 2017 – 2020 Visiting Professor, Lee Kong Chian /Nanyang Tech University, Singapore 2014 Elected Fellow of European Respiratory Society 2014 Sadoul Lecture at European Respiratory Society Congress 2010 – present Senior Investigator, National Institute for Health Research, NHS 1983 – 1984 MRC Dorothy Temple Cross Visiting Scientist to CVRI & UCSF, US."
"121","Krzysztof","Narkiewicz","","","",""
"122","Lars","Rejnmark","","","",""
"123","Laura","Masi","","","",""
"124","Leonardo","Calo’","","","",""
"125","Leonardo M.","Fabbri","","","",""
"126","Louis J.","Ignarro","","","",""
"127","Luca","Filippi","","","",""
"128","Luca","Pani","","","",""
"130","Luis M.","Ruilope","","","",""
"131","Maneesh","Singhal","","","",""
"132","Marco","Guazzi","","","",""
"133","Marco","Metra","","","58893","Full Professor in Cardiology at the Department of Medical and Surgical specialties, Radiological sciences and Public Health of the University of Brescia since December 2015 Director of the Institute of Cardiology of the Civil Hospital and University of Brescia since November 2012 Editor-in-Chief of the European Journal of Heart Failure, official journal of the Heart failure Association of the European Society of Cardiology, impact factor, 6.526 (2017) à 18.134 (2021) Senior consulting Editor of the European Heart Journal, official journal of the European Society of Cardiology, impact factor 29.983 Executive Editor of the Journal of Cardiovascular Medicine, official journal of the Italian Federation of Cardiology, impact fator 2.56 Author of more than 1.000 scientific articles in peer reviewed scientific journals listed in PubMed, in addition to 272 book chapters, invited articles and congress abstracts H index, calculated by google scholar, 133, calculated by SCOPUS, 125. Total number of citations, based on google scholar, 178 273. Ranked n. 34, in the Top Italian Scientists score for biomedical sciences https://topitalianscientists.org/TIS_HTML/Top_Italian_Scientists_Biomedical_Sciences.htm Winner of the Web Of Science highly cited researcher awards for clinical medicine in the years 2018 and 2021 for top percentile citations in the date range October 2017 - October 2022 Professor of cardiovascular disease for the School of Medicine, the School of detetics of the University of Brescia President- elect of the Heart Failure Association of the ESC since September 2022 Director of the postgraduate school of cardiology of the University of Brescia since 2012"
"134","Marco","Raffaelli","","","",""
"135","Margus","Viigimaa","","","",""
"136","Maria Concetta","Fargnoli","","","",""
"137","Maria Domenica","Cappellini","","","",""
"138","Maria Lorenza","Muiesan","","","73100","WORKING EXPERIENCE 1984-1986 Clinical Assistant : 2nd Medical Division, Spedali Civili-Patologia Medica University of Brescia and Cardiology Division, Spedali Civili- Cardiology Department, Univ of Brescia 1986-1999 Research Assistant Professor, Department of Medical and Surgical Sciences, University of Brescia 1999-2005 Associate Professor of Internal Medicine Department of Medical and Surgical Sciences, University of Brescia 2005 -2020 Full Professor of Internal Medicine Department of Medical and Surgical Sciences, University of Brescia 1999-2020 Responsible for the Cardiovascular Ultrasound Lab. 2003-2018 Responsible of the Medical Emergencies and Urgencies Unit, Internal Medicine Department Since 2018 Director of the Internal Medicine Unit ASST Spedali Civili Brescia and Internal Medicine –University of Brescia 2023- Director of the Medical department ASST Spedali Civili Brescia 2009- 2023 Director , Postgraduate Specialization School in Emergency Medicine Since 2023 Director , Postgraduate Specialization School in Internal Medicine 2012-2021 President of the degree in “Scienze Motorie” (EXERCISE AND SPORT SCIENCES) and Scienze e Tecniche delle Attività Motorie Preventive e Adattate (Sciences and Techniques of Preventive and Adapted Physical Activities) Teaching activity School of Medicine University of Brescia : Internal Medicine , Emergency Medicine School of Midwifery, School of Exercise and Sports : Internal medicine and Emergency Medicine"
"139","Maria Luisa","Brandi","","","",""
"140","Mariella","Della Chiesa","","","",""
"141","Marina","Buzzi","","","",""
"142","Martino","Marangella","","","",""
"143","Massimiliano","Bonafè","","","",""
"144","Massimo","Aglietta","","","",""
"145","Massimo","Salvetti","","","",""
"146","Maurizio","Castellano","","","",""
"147","Maurizio","Volterrani","","","71770","Full Professor of Science Movement at the Department of Human Science and Promotion of Quality Life at the San Raffaele Open University of Rome (since 2021). Head of the Cardio- Pulmonary Department - IRCCS San Raffaele (since 2004). Editor in Chief of the Monaldi Archives for Chest Disease. PUBLICATION AND METRICS: Books 2 Peer reviewed papers 245 https://pubmed.ncbi.nlm.nih.gov/?term=volterrani+m&sort=date Orcid: 0000-0002-2624-9213 H-index 52 (2022 - Scopus) Citations 11538 (Scopus) Editor in Chief of the Monaldi Archive for Chest Disease. Associated Editor of the ESC Journal of Heart Failure. Associated Editor of the European Journal of Heart Failure. Member of the Editorial Board of the Cardiac Failure Review. Reviewer of the International Journal of Cardiology, European Journal of Heart Failure. Cardiac Failure Review and Journal of Cardiovascular Medicine"
"148","Mauro","Gargiulo","","","",""
"149","Michael A.","Levine","","","",""
"150","Michael","Mannstadt","","","",""
"151","Michael T.","Collins","","","",""
"152","Michel","Burnier","","","",""
"153","Michela","Falco","","","",""
"154","Michele","Ciccarelli","","","",""
"155","Michele","Santodirocco","","","",""
"156","Mishaela R.","Rubin","","","",""
"157","Mondher","Toumi","","","",""
"158","Munro","Peacock","","","",""
"159","Natalie E.","Cusano","","","",""
"160","Niccolò","Marchionni","","","45739","Past-President, Italian Society of Gerontology and Geriatrics (SIGG) and Italian Society of Geriatric Cardiology (SICGe) Cardiologist and Geriatrician, Professor of Internal Medicine and Geriatrics, and Chairman of the Department of Cardiothoracovascular Medicine at the University of Florence and Careggi Hospital, Italy. From 2009 to 2016, he has been the Chairman of the Geriatric Expert Group established at the European Medicines Agency (EMA). His research interests include cardiovascular diseases in the older population in both the clinical and epidemiological areas and pharmaco-epidemiology, particularly focusing on use of administrative databases aimed at assessing the adherence to good practices in the older, comorbid and frail cardiac patients. Professor Marchionni is member of several Italian national medical societies and is in the board of international peer-reviewed journals. He has co-authored 325 papers published in peer-reviewed international scientific journals (2020 cumulative IF 1482, H index 57) and has participated in several scientific books on geriatrics and cardiovascular medicine."
"161","Nicola","Ferrara","","","",""
"162","Nicola","Longo","","","",""
"163","Nicola","Magrini","","","",""
"164","Noemi","Greppi","","","",""
"165","Noor","Buchholz","","","",""
"166","Olu","Akinyanju","","","",""
"167","Orsetta","Zuffardi","","","",""
"168","Orson W.","Moe","","","",""
"169","Pam","Kearns","","","",""
"170","Paolo G.","Camici","","","",""
"171","Paolo","Rebulla","","","",""
"172","Paolo","Rossi","","","",""
"173","Paolo","Verze","","","",""
"174","Pasquale","Perrone Filardi","","","66458","The undersigned PASQUALE PERRONE FILARDI, pursuant to articles 46 and 47 of Presidential Decree 445/2000, aware of the criminal sanctions provided for by article 76 of Presidential Decree 445/2000 and subsequent amendments and additions for the hypothesis of falsification of documents and declarations false, declares under its own responsibility. Main activities: Director, Cardiology Residency School at Federico II University of Naples, Italy. Director, Cardiology Inpatient Clinic and Director of Outpatient Clinical Program of Cardiomyopathies and Pulmonary Hypertension at Federico II Academic Hospital, Naples, Italy. Research activity in the field of chronic heart failure, cardiomyopathy, diabetic cardiomyopathy, coronary artery disease, cardiovascular prevention and nuclear cardiology"
"175","Pasquale","Strazzullo","","","",""
"176","Paul","Jones","","","",""
"177","Paul W.","Davenport","","","",""
